DATAFLOW,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LV,2016,79.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LV,2017,79.7,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,LV,2018,79.7,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,MT,2010,83.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,MT,2011,83.0,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,MT,2012,83.0,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,MT,2013,84.0,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,MT,2014,84.3,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,MT,2015,84.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,MT,2016,84.4,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,MT,2017,84.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,MT,2018,84.6,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NL,2010,83.0,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NL,2011,83.1,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NL,2012,83.0,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NL,2013,83.2,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NL,2014,83.5,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NL,2015,83.2,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NL,2016,83.2,b
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NL,2017,83.4,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NL,2018,83.4,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NO,2010,83.3,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NO,2012,83.5,
ESTAT:TPS00208(1.0),A,YR,F,LE_0,NO,2013,83.8,
